code_pdv_texte,code_pdv,Vague,**nom_restaurant**,**reseau**,**code_direction**,REGION<br>GLOBALE,**code_region**,REGION,**statut_pdv**,id_readings,vague,nom_restaurant,region,date_mel,statut_integration,affluence,sequence,joker,syntaxe,fdv,hdv,sexe,age,f600,f600_comment,1.1 - Courtoisie et aimabilité du personnel,1.2 - Compétence du personnel,"1.3 - Perception du personnel (souriant, dynamique, professionnel)",1.4 - Interaction avec le client,1.5 - Gestion de l'affluence,2.1 - Qualité des plats,2.2 - Variété des plats,2.3 - Cuisson et température des aliments,2.4 - Assaisonnement des aliments,2.5 - Disponibilité des plats,3.1 - Propreté générale du restaurant,3.2 - Propreté des toilettes,3.3 - Propreté et rangement des tables,3.4 - Propreté des couverts et assiettes,"3.5 - Propreté des espaces de service (buffets, stands)",4.1 - Décoration et agencement du restaurant,4.2 - Bruit dans le restaurant,"4.3 - Espace (espacement entre les tables, taille du restaurant)",4.4 - Environnement pour les enfants,5.1 - Présence de déchets,5.2 - Nettoyage et débarrassage des tables,5.3 - Fréquence du réapprovisionnement des buffets,6.1 - Gestion du temps d'attente,6.2 - Rapidité du service en caisse,6.3 - Gestion de l'affluence,7.1 - Variété et qualité des légumes,7.2 - Presence de sauce sur assiette,7.3 - Assaisonnement des accompagnements,7.4 - Disponibilité des sauces,8.1 - Connaissance du personnel sur les produits,8.2 - Disponibilité des produits comme les crêpes,8.3 - Problèmes techniques impactants l'offre de produits,9.1 - Accessibilité du restaurant,9.2 - Places de parking,9.3 - Aménagement de la terrasse,10. - Prix,11. - Communication,12. - Poisson
46,46,juil.-23,ROUEN BARENTIN,COMPAGNIE,DO_2,NORD,R_28,PARIS NORMANDIE,Actif,347512,40,23,29,28/07/2023,1,1,MIDI SEMAINE,0,6,7/27/2023,12:55:00,Homme,45,2,Le personnel est disponible et courtois. Je suis bien renseigné du début jusqu'à la fin de la visite. Le repas est plutôt bon.,S,NS,NS,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC
59,59,sept.-23,MANTES LA JOLIE,COMPAGNIE,DO_3,NORD,R_28,PARIS NORMANDIE,Actif,347740,42,32,29,15/09/2023,1,2,WE FAMILLE,0,6,09/09/2023,19:15:00,Femme,32,3,"Il y a un problème de prix sur les étiquettes. Je n'apprécie pas l'attente en caisse, le manque de propreté au niveau des sanitaires et du buffet chaud. Il n'y a plus de sauce pour le jambon à la découpe.",PDC,PDC,NS,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC
85,85,sept.-23,LYON ST PRIEST,COMPAGNIE,DO_4,SUD,R_30,CENTRE EST,Actif,347795,42,50,23,20/09/2023,1,2,WE FAMILLE,0,6,9/15/2023,19:10:00,Homme,59,3,"Une table reste non nettoyée et sale. Beaucoup de clients laissent leur plateau sans le débarrasser. Il faudrait plus de bouteilles de San Pellegrino fraîches, j'ai pris la dernière.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
72,72,sept.-23,NICE LINGOSTIERE,COMPAGNIE,DO_4,SUD,R_27,GRAND SUD EST,Actif,347857,42,44,24,03/10/2023,1,1,WE FAMILLE,0,6,9/30/2023,12:55:00,Homme,37,2,"Le passage de ce jour est conforme à mes attentes. Le plat est bon. Cependant, des tables ne sont pas débarrassées, et les sols de la salle et des toilettes sont sales.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
853,853,avr.-23,NARBONNE,FRANCHISE,DO_6,SUD,R_13,GRAND SUD EST,Actif,346644,37,223,24,11/04/2023,1,2,MIDI SEMAINE,0,6,04/05/2023,12:00:00,Femme,55,2,Il n'y avait pas assez de choix en légumes.,n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,10,févr.-23,ST NAZAIRE TRIGNAC,COMPAGNIE,DO_1,SUD,R_22,OUEST,Actif,346042,33,4,27,14/02/2023,0,1,SOIR SEMAINE,0,6,02/06/2023,19:07:00,Femme,47,2,"Le restaurant était propre et agréable, mais je suis arrivée au mauvais moment, après une compagnie de quarante CRS. Le buffet des entrées était pratiquement vide, le personnel du grill était dépassé dans la gestion des commandes des cuissons. Néanmoins, tout le monde était agréable, en caisse comme au grill.",PDC,PDC,NS,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC,PDC
10,10,févr.-23,ST NAZAIRE TRIGNAC,COMPAGNIE,DO_1,SUD,R_22,OUEST,Actif,346142,33,4,27,28/02/2023,1,2,SOIR SEMAINE,1,6,2/21/2023,18:50:00,Homme,56,2,"Je suis satisfait, car le restaurant est propre et bien entretenu. Sauf le sol de l'espace commun des toilettes qui est collant.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,10,août-23,ST NAZAIRE TRIGNAC,COMPAGNIE,DO_1,SUD,R_22,OUEST,Actif,347514,41,4,27,11/08/2023,0,1,SOIR SEMAINE,0,6,08/02/2023,19:34:00,Homme,32,3,"Je suis satisfaite des frites obtenues à une heure tardive, réservées aux clients qui prenaient des moules à cette heure-là. En revanche, la sauce insuffisante pour mon burger a été un point négatif.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,10,août-23,ST NAZAIRE TRIGNAC,COMPAGNIE,DO_1,SUD,R_22,OUEST,Actif,347687,41,4,27,22/08/2023,1,2,SOIR SEMAINE,1,6,17/08/2023,19:56:00,Homme,63,2,"C'est conforme à mes attentes. De retour des toilettes, une personne commence à débarrasser mon plateau, alors que je n'ai pas terminé mon repas. Je dois l'interpeller pour qu'elle cesse.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,17,mars-23,LE MANS LA MILESSE,COMPAGNIE,DO_5,SUD,R_31,OUEST,Actif,346383,34,7,27,10/03/2023,0,1,WE FAMILLE,0,6,03/04/2023,11:55:00,Femme,37,2,"Le restaurant est agréable et assez grand, les buffets sont en général assez garnis. Cela manque d'interactions entre les serveurs et les clients.",n,na,na,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
